#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
ATCOPIA32#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	91	2	16	5,5	5787	94	4
ATCOPIA33#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	85	5	12	5,5	5047	85	7
ATCOPIA34#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	83	19	16	5,5	4752	98	0
ATCOPIA35#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	91	19	12	5,5	4710	94	29
ATCOPIA36#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	84	7	20	5,5	4726	89	26
ATCOPIA37#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	93	18	12	5,5	6028	96	26
ATCOPIA38B#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	94	14	14	5,5	4803	94	12
ATCOPIA38#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	86	1	14	5,5	4832	94	13
ATCOPIA39#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	91	19	7	5,5	4012	95	0
ATCOPIA3#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	89	12	16	5,5	4633	80	10
ATCOPIA41#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	84	3	10	5,5	6478	81	5
ATCOPIA42#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	93	6	19	5,5	7724	88	13
ATCOPIA43#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	85	1	10	5,5	9103	91	21
ATCOPIA44#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	91	6	16	5,5	5194	86	2
ATCOPIA45#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	82	12	9	5,5	4817	81	21
ATCOPIA46#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	86	15	20	5,5	5006	87	17
ATCOPIA47#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	95	1	5	5,5	5063	94	7
ATCOPIA48#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	94	14	11	5,5	5250	89	22
ATCOPIA49#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	85	16	9	5,5	5220	84	16
ATCOPIA4#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	94	15	11	5,5	4753	89	1
ATCOPIA50#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	91	2	14	5,5	5652	86	18
ATCOPIA51#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	93	4	7	5,5	4972	97	16
ATCOPIA52#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	92	17	16	5,5	4937	89	17
ATCOPIA53#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	85	6	13	5,5	5163	97	1
ATCOPIA54#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	95	12	11	5,5	4693	84	20
ATCOPIA55#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	95	1	20	5,5	5278	98	14
ATCOPIA56#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	95	18	5	5,5	5476	81	7
ATCOPIA57#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	93	7	17	5,5	2062	84	21
ATCOPIA58#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	88	20	18	5,5	5903	97	30
ATCOPIA59#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	80	8	16	5,5	4727	97	21
ATCOPIA5#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	80	17	19	5,5	4686	98	25
ATCOPIA60#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	94	7	17	5,5	3291	88	15
ATCOPIA61#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	95	11	14	5,5	5019	85	14
ATCOPIA62#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	95	20	14	5,5	4961	94	3
ATCOPIA63#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	90	9	7	5,5	4819	82	20
ATCOPIA64#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	88	18	10	5,5	4695	95	7
ATCOPIA66#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	94	9	20	5,5	5249	98	30
ATCOPIA67#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	86	6	6	5,5	3972	82	3
ATCOPIA68#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	82	1	15	5,5	4981	95	9
ATCOPIA69A#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	92	11	5	5,5	5156	87	26
ATCOPIA69#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	82	19	18	5,5	5160	80	18
ATCOPIA6#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	95	4	11	5,5	4718	88	9
ATCOPIA70#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	80	13	5	5,5	5041	83	18
ATCOPIA71#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	86	17	14	5,5	5528	93	18
ATCOPIA72#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	92	15	17	5,5	4831	82	23
ATCOPIA73#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	88	8	8	5,5	4870	95	12
ATCOPIA74#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	84	13	17	5,5	3861	93	1
ATCOPIA75#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	94	7	13	5,5	4867	98	10
ATCOPIA76#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	90	4	9	5,5	5720	87	3
ATCOPIA77#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	87	5	9	5,5	4900	95	26
ATCOPIA78#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	83	11	20	5,5	4957	92	14
ATCOPIA79#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	92	13	15	5,5	5342	80	20
ATCOPIA7#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	81	13	10	5,5	5083	97	23
ATCOPIA80#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	92	17	12	5,5	4280	92	14
ATCOPIA81#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	93	4	17	5,5	4966	94	1
ATCOPIA82#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	88	10	5	5,5	5295	84	24
ATCOPIA83#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	82	10	7	5,5	4923	88	25
ATCOPIA84#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	85	6	20	5,5	4882	81	17
ATCOPIA85#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	95	7	16	5,5	3878	98	5
ATCOPIA86#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	84	12	18	5,5	5225	97	22
ATCOPIA87#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	84	20	11	5,5	5221	97	2
ATCOPIA88#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	84	10	19	5,5	5363	96	5
ATCOPIA89#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	84	4	10	5,5	5004	90	0
ATCOPIA8A#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	80	9	5	5,5	5265	81	25
ATCOPIA8B#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	95	13	13	5,5	5085	87	21
ATCOPIA90#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	84	9	6	5,5	5147	85	18
ATCOPIA91#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	92	9	8	5,5	5270	81	17
ATCOPIA92#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	84	15	9	5,5	4803	82	29
ATCOPIA93#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	90	5	13	5,5	5348	98	29
ATCOPIA94#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	86	1	8	5,5	4938	80	0
ATCOPIA95#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	83	20	17	5,5	6821	95	0
ATCOPIA96#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	88	16	20	5,5	4896	84	14
ATCOPIA97#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	88	2	20	5,5	3742	89	10
ATCOPIA9#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	93	6	7	5,5	5066	88	2
Copia-1_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	92	20	17	5,5	4981	82	8
Copia-2_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	88	20	13	5,5	4745	84	19
Copia-3_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	83	11	20	5,5	5154	88	10
ATCOPIA31A_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	85	15	8	5,5	288	80	27
ATCOPIA32B_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	92	10	20	5,5	766	91	7
ATCOPIA38ALTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	92	12	18	5,5	162	81	15
ATCOPIA40_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	89	18	20	5,5	4131	88	15
ATCOPIA65ALTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	83	19	16	5,5	305	95	22
ATCOPIA65_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	81	7	14	5,5	4165	97	16
ENDOVIR1_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	85	12	9	5,5	7985	86	15
TA1-2_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	90	13	10	5,5	4192	96	26
Os0045_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	95	17	7	5,5	1912	84	15
Os0078_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	92	12	14	5,5	1843	87	1
Os0082_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	84	1	11	5,5	423	94	21
Os0083_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	80	2	14	5,5	965	85	12
Os0201_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	80	1	17	5,5	323	86	13
Os0259_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	86	19	7	5,5	4938	81	1
Os0292_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	91	9	14	5,5	216	88	28
Os0323_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	94	16	7	5,5	2444	86	6
Os0338_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	83	6	10	5,5	5164	93	4
Os0352_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	88	6	19	5,5	122	84	13
Os0708_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	91	4	9	5,5	135	86	21
Os1077_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	83	6	11	5,5	1034	85	21
Os1557_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	88	14	7	5,5	3222	93	14
Os2167_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	88	3	19	5,5	589	94	14
Os2244_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	93	20	19	5,5	1697	91	13
Os2617_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	89	11	11	5,5	496	97	8
Os2739_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	81	10	5	5,5	491	83	4
Os2852_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	88	18	17	5,5	286	90	8
Os3040_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	88	20	16	5,5	282	81	15
Os3411_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	91	6	20	5,5	570	88	11
Os3425_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	88	6	5	5,5	470	98	14
Os3447_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	87	17	15	5,5	412	93	15
Os3468_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	91	3	7	5,5	253	88	6
Os3553_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	92	17	20	5,5	406	90	11
Os3564_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	88	20	16	5,5	285	89	27
Os3596_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	85	6	18	5,5	598	95	4
Os3597_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	82	20	13	5,5	932	95	27
Os3638_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	81	12	6	5,5	394	88	17
ATGP10#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	83	20	9	5,5	7629	93	25
ATGP11#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	9	93	5	5	5,5	4145	95	3
ATGP1#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	8	84	17	19	5,5	8297	98	7
ATGP2#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	9	86	19	13	5,5	7623	94	2
ATGP2N#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	80	7	13	5,5	5233	92	20
ATGP3A#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	84	6	12	5,5	4997	84	29
ATGP3B#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	90	16	8	5,5	5338	85	0
ATGP3#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	7	89	12	5	5,5	5243	95	7
ATGP4#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	6	89	13	14	5,5	5714	81	30
ATGP5A#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	6	92	16	8	5,5	6239	84	22
ATGP5#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	92	10	19	5,5	6359	95	22
ATGP6#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	8	93	2	7	5,5	5695	89	13
ATGP7#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	81	11	13	5,5	6205	84	4
ATGP8#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	91	12	10	5,5	8683	81	20
ATHILA2#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	8	87	18	10	5,5	10923	86	24
ATHILA3#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	9	94	11	13	5,5	10630	84	26
ATHILA4C#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	6	91	20	7	5,5	10955	85	21
ATHILA5#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	8	94	14	13	5,5	10751	90	6
ATHILA6A#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	5	89	16	8	5,5	11611	90	16
ATHILA7#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	5	81	19	14	5,5	12842	95	24
ATHILA8A#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	9	81	8	14	5,5	8869	96	24
ATHILA8B#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	94	13	16	5,5	8341	90	6
ATLANTYS1#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	5	86	11	19	5,5	11667	90	23
ATLANTYS2#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	88	6	12	5,5	10919	92	18
ATHILA0_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	93	14	5	5,5	10046	86	18
ATHILA4B_LTR#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	10	95	19	12	5,5	1209	85	29
ATHILA4D_LTR#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	7	81	1	12	5,5	1165	90	27
ATHILA4_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	6	85	18	11	5,5	3022	89	16
ATHILA6B_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	6	90	19	19	5,5	7963	95	23
ATHILA6C_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	7	95	8	5	5,5	10743	95	24
ATHILA7A_I#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	8	81	20	10	5,5	4754	94	3
ROMANIAT5#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	8	85	11	12	5,5	3398	92	15
TA1_AT#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	6	80	13	13	5,5	542	82	27
TAT1_ATH#LTR/Ty3	LTR/Ty3	LTR_retrotransposon	7	80	8	10	5,5	3960	92	9
Os0046_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	83	17	14	5,5	1556	96	16
Os0118_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	91	5	8	5,5	843	95	30
Os0121_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	95	19	5	5,5	1205	97	20
Os0133_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	80	7	8	5,5	3342	80	3
Os0141_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	85	4	5	5,5	3108	92	25
Os0142_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	93	20	20	5,5	3424	87	7
Os0165_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	90	20	16	5,5	1459	92	12
Os0172_INT_IC_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	92	8	18	5,5	10415	86	23
Os0174_INT_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	80	19	14	5,5	6404	86	11
Os0209_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	80	2	7	5,5	371	94	7
Os0225_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	93	16	17	5,5	5105	92	5
Os0252_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	91	8	6	5,5	2168	83	1
Os0262_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	83	6	12	5,5	6195	93	30
Os0264_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	81	9	7	5,5	3782	81	24
Os0266_INT_IC_Bajie#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	82	16	5	5,5	3878	93	24
Os0271_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	84	17	18	5,5	2465	96	30
Os0320_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	89	10	7	5,5	572	93	9
Os0329_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	86	6	14	5,5	3093	86	5
Os0346_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	80	2	20	5,5	5866	97	18
Os0404_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	87	20	8	5,5	3229	86	21
Os0498_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	80	19	6	5,5	1361	81	5
Os0500_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	95	8	18	5,5	3981	89	16
Os0706_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	85	13	10	5,5	5312	81	12
Os0726_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	89	4	14	5,5	819	91	29
Os0735_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	92	20	17	5,5	1473	98	1
Os0738_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	86	20	7	5,5	5102	87	12
Os0777_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	83	5	19	5,5	3864	92	19
Os0869_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	89	18	20	5,5	2722	87	29
Os1076_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	88	12	9	5,5	1878	85	3
Os1082_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	82	10	17	5,5	1147	80	18
Os1164_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	84	2	8	5,5	5393	80	23
Os1173_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	93	5	15	5,5	5665	92	3
Os1178_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	94	11	8	5,5	594	87	10
Os1268_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	95	9	18	5,5	6144	85	0
Os1330_LTR_ICL#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	86	8	16	5,5	1043	86	8
Os1337_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	80	2	15	5,5	1140	93	0
Os1502_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	92	1	15	5,5	1679	92	22
Os1597_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	84	16	6	5,5	4639	88	14
Os1598_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	82	20	15	5,5	4212	96	26
Os1619_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	89	6	7	5,5	3303	85	17
Os1699_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	92	19	17	5,5	4116	81	14
Os1718_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	84	3	9	5,5	337	85	29
Os1737_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	87	8	10	5,5	2234	92	22
Os1742_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	90	4	11	5,5	661	83	15
Os1888_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	89	7	11	5,5	3226	92	26
Os1942_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	88	5	12	5,5	3429	98	19
Os1951_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	84	1	13	5,5	5280	84	1
Os1956_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	80	15	18	5,5	2111	82	23
Os1980_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	94	12	5	5,5	1278	86	9
Os2013_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	94	5	18	5,5	1285	91	26
Os2123_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	80	17	19	5,5	4110	89	14
Os2214_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	82	15	10	5,5	5679	89	21
Os2245_INT_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	92	2	5	5,5	6340	92	30
Os2258_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	94	7	11	5,5	1808	90	12
Os2278_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	86	2	18	5,5	4842	98	2
Os2344_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	94	16	10	5,5	1118	88	6
Os2490_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	95	8	12	5,5	590	83	1
Os2621_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	91	17	14	5,5	2775	93	0
Os2710_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	95	9	10	5,5	3036	84	3
Os2724_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	90	9	11	5,5	4395	89	20
Os2761_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	7	93	6	11	5,5	4125	98	1
Os2796_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	86	2	14	5,5	4209	96	3
Os2829_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	93	1	15	5,5	940	85	20
Os2845_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	85	5	13	5,5	4660	87	11
Os2848_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	85	4	16	5,5	1153	84	0
Os3061_INT_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	6	80	12	15	5,5	5804	84	18
Os3063_INT_Dasheng#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	94	6	15	5,5	5380	83	0
Os3087_INT#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	8	91	11	19	5,5	2826	80	18
Os3096_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	9	80	1	18	5,5	5516	94	3
Os3341_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	85	18	7	5,5	127	97	21
Os3358_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	84	9	5	5,5	1484	93	21
Os3403_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	95	8	13	5,5	717	90	21
Os3496_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	5	86	8	8	5,5	390	87	27
Os3508_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	10	83	13	7	5,5	317	89	3
